,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
1030 Web developers 1030 (SOC 15-1134),690,168,100,5.3,42,12.2,39.1,12.1,0,5.3,10.1,7.2,0,5.3,5.7,19.9,0,5.3,2.9,4
          Male,290,129,42,14.7,19.6,10,10.9,9,0,5.3,6.5,6.3,0,5.3,5.1,19.8,0,5.3,0.6,0.7
          Female,400,134,58,14.7,22.5,8.4,28.3,13.1,0,5.3,3.6,4.3,0,5.3,0.6,18.5,0,5.3,2.9,4.5
1050 Computer support specialists 1050 (SOC 15-1150),"3,150",368,100,1.2,17.6,5.3,71.4,6.1,0,1.2,1.7,1.3,0,1.2,3.7,4.5,3.3,2.9,2.2,1.7
          Male,"2,080",326,66,6.1,12.5,4.2,44.6,6.7,0,1.2,1.1,1.1,0,1.2,2.9,1.6,3,2.7,1.9,1.6
          Female,"1,070",217,34,6.1,5.2,2.9,27,6.1,0,1.2,0.6,0.8,0,1.2,0.8,4.1,0.3,0.4,0.3,0.4
1060 Database administrators 1060 (SOC 15-1141),990,238,100,3.7,16.7,9.4,59.6,12.2,0,3.7,20.7,10,0,3.7,3,13.2,0,3.7,0,3.7
          Male,445,180,44.9,14.7,7.6,7.1,20.2,11.7,0,3.7,15.7,9.8,0,3.7,1.5,13.1,0,3.7,0,3.7
          Female,545,189,55.1,14.5,9.1,6.3,39.4,13.6,0,3.7,5.1,5,0,3.7,1.5,13,0,3.7,0,3.7
1105 Network and computer systems administrators 1105 (SOC 15-1142),"1,570",284,100,2.4,18.2,6.9,70.1,7.9,0.3,0.7,3.8,3.3,0,2.4,2.2,8.4,1.6,1.9,2.9,3.1
          Male,970,197,61.8,8.6,15.9,6.4,38.2,8.4,0,2.4,2.2,2,0,2.4,0.9,8.2,1.6,1.9,2.9,3.1
          Female,595,191,37.9,8.6,2.5,2.5,31.8,8.5,0.3,0.7,1.9,2.1,0,2.4,1.3,8.3,0,2.4,0,2.4
1106 Computer network architects 1106 (SOC 15-1143),"1,125",272,100,3.3,18.7,7.6,74.7,8.1,0,3.3,1.3,2,0,3.3,3.1,12.4,0,3.3,1.8,2.5
          Male,960,240,85.3,8.7,15.6,7,66.2,9.5,0,3.3,1.3,2,0,3.3,0,3.3,0,3.3,1.8,2.5
          Female,165,108,14.7,8.7,2.7,3.2,8.4,5.9,0,3.3,0,3.3,0,3.3,3.1,12.4,0,3.3,0,3.3
"1107 Computer occupations, all other 1107 (SOC 15-1199)","2,295",362,100,1.6,12,4.2,78.6,5.6,0.7,1.1,6.3,3.3,0,1.6,1.5,5.7,0,1.6,0.9,1.5
          Male,"1,270",240,55.3,6.7,7.4,3.3,42,6.8,0.7,1.1,4.4,2.7,0,1.6,0.9,5.6,0,1.6,0,1.6
          Female,"1,025",235,44.7,6.7,4.6,2.1,36.6,6.6,0,1.6,2,2,0,1.6,0.7,5.6,0,1.6,0.9,1.5
1200 Actuaries 1200 (SOC 15-2011),4,8,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,4,8,100,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
1220 Operations research analysts 1220 (SOC 15-2031),"1,855",279,100,2,27.5,7.5,64.7,8.6,0,2,5.1,3.1,0,2,1.1,7,0.8,1,0.8,1.4
          Male,585,155,31.5,6.9,14.3,5.8,15.4,5.5,0,2,1.3,1.4,0,2,0.5,6.9,0,2,0,2
          Female,"1,275",230,68.7,7,13.2,5.5,49.3,7.9,0,2,3.8,3.1,0,2,0.5,6.9,0.8,1,0.8,1.4
"1240 Miscellaneous mathematical science occupations, including mathematicians and statisticians 1240 (SOC 15-20XX)",620,179,100,5.9,58.9,15.6,16.9,10.3,0,5.9,19.4,12.4,0,5.9,0,5.9,3.2,4,2.4,2.8
          Male,310,134,50,12.1,29.8,12.9,6.5,6.2,0,5.9,12.1,12.7,0,5.9,0,5.9,0,5.9,2.4,2.8
          Female,310,94,50,11.7,29,10.8,10.5,7.5,0,5.9,7.3,6.2,0,5.9,0,5.9,3.2,4,0,5.9
"1300 Architects, except naval 1300 (SOC 17-1010)",350,113,100,10.2,34.3,14.8,48.6,15.1,0,10.2,14.3,11,0,10.2,0,10.2,2.9,4.5,0,10.2
          Male,240,96,68.6,14,20,11.2,37.1,18.1,0,10.2,8.6,9.5,0,10.2,0,10.2,2.9,4.5,0,10.2
          Female,110,57,31.4,14.3,15.7,10.9,11.4,12.2,0,10.2,4.3,7.3,0,10.2,0,10.2,0,10.2,0,10.2
"1310 Surveyors, cartographers, and photogrammetrists 1310 (SOC 17-1020)",195,91,100,17.4,46.2,26.3,38.5,26.4,0,17.4,15.4,23,0,17.4,0,17.4,0,17.4,0,17.4
          Male,180,90,92.3,10.9,46.2,25.4,30.8,26.6,0,17.4,15.4,23,0,17.4,0,17.4,0,17.4,0,17.4
          Female,15,20,7.7,10.6,2.1,2.2,7.7,9.1,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4,0,17.4
1320 Aerospace engineers 1320 (SOC 17-2011),310,90,100,11.4,37.1,16.2,38.7,19,0,11.4,14.5,14.1,0,11.4,0,11.4,3.2,6.4,4.8,7.4
          Male,230,83,74.2,16.5,27.4,15.8,30.6,17.5,0,11.4,9.7,8.8,0,11.4,0,11.4,3.2,6.4,4.8,7.4
          Female,75,54,24.2,16,9.7,10,9.7,10.2,0,11.4,6.5,10.7,0,11.4,0,11.4,0,11.4,0,11.4
1340 Biomedical and agricultural engineers 1340 (SOC 17-20XX),10,14,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,10,14,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
1350 Chemical engineers 1350 (SOC 17-2041),10,14,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,10,14,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
1360 Civil engineers 1360 (SOC 17-2051),935,238,100,3.9,18.2,7.2,65.8,10.4,2.1,3.6,10.2,6.6,0,3.9,3.2,14.1,0,3.9,0.4,0.2
          Male,840,212,89.8,8,17.1,6.9,58.3,9.9,2.1,3.6,9.1,6.2,0,3.9,3.2,14.1,0,3.9,0.4,0.2
          Female,95,79,10.2,7.8,1.1,1.7,7.5,7.4,0,3.9,1.6,2.3,0,3.9,0,3.9,0,3.9,0,3.9
1400 Computer hardware engineers 1400 (SOC 17-2061),555,192,100,6.5,21.6,14,60.4,16.7,0,6.5,7.2,7,0,6.5,0,6.5,0,6.5,10.8,10.8
          Male,490,183,88.3,9.5,18,13.1,53.2,17.4,0,6.5,6.3,6.1,0,6.5,0,6.5,0,6.5,10.8,10.8
          Female,65,54,11.7,9.6,3.6,5.8,7.2,7.6,0,6.5,0.7,3.3,0,6.5,0,6.5,0,6.5,0,6.5
1410 Electrical and electronics engineers 1410 (SOC 17-2070),765,179,100,4.8,35.9,13.7,47.7,13.3,0,4.8,5.2,4.7,0,4.8,2.6,16.8,4.6,4.3,3.3,4.6
          Male,735,180,96.1,4,35.9,13.7,47.1,13.3,0,4.8,4.6,4,0,4.8,2.6,16.8,2.6,3.5,3.3,4.6
          Female,30,31,3.9,4.1,0,4.8,1.3,2,0,4.8,0.5,2.4,0,4.8,0,4.8,2,3.1,0,4.8
1420 Environmental engineers 1420 (SOC 17-2081),80,62,100,35.3,25,32.1,68.8,35.5,0,35.3,0,35.3,0,35.3,0,35.3,5,18.6,0,35.3
          Male,65,60,81.3,28.5,25,32.1,56.3,40.9,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3
          Female,15,22,18.8,29.5,0,35.3,12.5,21.3,0,35.3,0,35.3,0,35.3,0,35.3,5,18.6,0,35.3
"1430 Industrial engineers, including health and safety 1430 (SOC 17-2110)",135,75,100,23.9,18.5,13.4,63,24.7,0,23.9,18.5,20.2,0,23.9,0,23.9,0,23.9,0,23.9
          Male,70,50,51.9,25.8,18.5,13.4,18.5,22.4,0,23.9,18.5,20.2,0,23.9,0,23.9,0,23.9,0,23.9
          Female,65,52,48.1,26.2,0,23.9,48.1,26.2,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9
1440 Marine engineers and naval architects 1440 (SOC 17-2121),110,83,100,28.2,45.5,39.7,54.5,40.1,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
          Male,110,83,100,28.2,45.5,39.7,54.5,40.1,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
          Female,0,127,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
1450 Materials engineers 1450 (SOC 17-2131),40,43,100,50.4,25,40.6,62.5,45.3,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
          Male,25,28,62.5,45.1,25,40.6,25,54.5,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
          Female,15,25,37.5,46,0,50.4,37.5,46,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
1460 Mechanical engineers 1460 (SOC 17-2141),185,83,100,18.2,43.2,22.7,56.8,22,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2
          Male,185,83,100,18.2,43.2,22.7,56.8,22,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2
          Female,0,127,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,18.2
"1530 Miscellaneous engineers, including nuclear engineers 1530 (SOC 17-21YY)","1,675",272,100,2.2,25.4,6.1,48.7,8.8,0,2.2,24.5,8,0,2.2,1.2,7.8,0,2.2,0.6,0.8
          Male,"1,440",235,86,5.1,22.7,5.6,40.9,9.7,0,2.2,20.9,7.9,0,2.2,1.2,7.8,0,2.2,0.6,0.8
          Female,235,99,14,5.1,2.7,2.8,7.8,3.7,0,2.2,3.6,3.1,0,2.2,0,2.2,0,2.2,0,2.2
1540 Drafters 1540 (SOC 17-3010),260,101,100,13.4,34.6,18.6,51.9,19.8,0,13.4,7.7,9.2,0,13.4,0,13.4,5.8,9.8,0,13.4
          Male,230,95,88.5,11.8,34.6,18.6,46.2,19.5,0,13.4,7.7,9.2,0,13.4,0,13.4,0,13.4,0,13.4
          Female,30,32,11.5,11.3,0,13.4,5.8,7.6,0,13.4,0,13.4,0,13.4,0,13.4,5.8,9.8,0,13.4
"1550 Engineering technicians, except drafters 1550 (SOC 17-3020)","1,450",281,100,2.5,13.1,6.7,67.2,8.8,0,2.5,12.4,5.5,0,2.5,0,2.5,1.4,2,5.9,6.4
          Male,"1,200",242,82.8,5.4,10.7,6.2,54.1,9,0,2.5,10.3,5.3,0,2.5,0,2.5,1.4,2,5.9,6.4
          Female,250,91,17.2,5.4,2.4,2.1,12.8,4.8,0,2.5,2.1,2.5,0,2.5,0,2.5,0,2.5,0,2.5
1560 Surveying and mapping technicians 1560 (SOC 17-3031),205,118,100,16.6,36.6,28.3,63.4,29.1,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Male,190,113,92.7,11,36.6,28.3,56.1,28.4,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Female,15,24,7.3,11.5,0,16.6,7.3,11.5,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
1600 Agricultural and food scientists 1600 (SOC 19-1010),115,64,100,27.2,34.8,25.4,8.7,11.3,0,27.2,52.2,28.3,0,27.2,8.7,111.1,0,27.2,0,27.2
          Male,60,50,52.2,34.7,21.7,24.3,8.7,11.3,0,27.2,17.4,29.5,0,27.2,8.7,111.1,0,27.2,0,27.2
          Female,50,47,43.5,33.5,13,20.2,0,27.2,0,27.2,34.8,28.8,0,27.2,0,27.2,0,27.2,0,27.2
1610 Biological scientists 1610 (SOC 19-1020),260,97,100,13.4,59.6,17,9.6,9.8,0,13.4,13.5,14.1,0,13.4,11.5,50.7,0,13.4,3.8,6.7
          Male,125,68,48.1,17.5,42.3,17.3,0,13.4,0,13.4,5.8,9.6,0,13.4,0,13.4,0,13.4,0,13.4
          Female,135,69,51.9,17.5,17.3,12.6,9.6,9.8,0,13.4,7.7,12.1,0,13.4,11.5,50.7,0,13.4,3.8,6.7
1640 Conservation scientists and foresters 1640 (SOC 19-1030),45,45,100,47.5,22.2,33.8,77.8,36.3,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
          Male,45,45,100,47.5,22.2,33.8,77.8,36.3,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
          Female,0,127,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5,0,47.5
"1650 Medical scientists, and life scientists, all other 1650 (SOC 19-10XX)",340,109,100,10.4,35.3,17.9,23.5,14.2,0,10.4,39.7,17.1,0,10.4,0,10.4,2.9,3.8,0,10.4
          Male,180,89,52.9,17.9,14.7,16.7,10.3,9.2,0,10.4,23.5,14.8,0,10.4,0,10.4,2.9,3.8,0,10.4
          Female,160,73,47.1,18,19.1,13.7,13.2,10.2,0,10.4,14.7,9.7,0,10.4,0,10.4,0,10.4,0,10.4
1700 Astronomers and physicists 1700 (SOC 19-2010),190,79,100,17.8,57.9,20.1,23.7,15.1,0,17.8,13.2,18.3,0,17.8,5.3,67.3,0,17.8,0,17.8
          Male,165,72,86.8,17.8,57.9,20.1,21.1,15,0,17.8,2.1,5.6,0,17.8,5.3,67.3,0,17.8,0,17.8
          Female,25,35,13.2,17.4,0,17.8,2.1,0.9,0,17.8,10.5,17.9,0,17.8,0,17.8,0,17.8,0,17.8
1710 Atmospheric and space scientists 1710 (SOC 19-2021),165,96,100,20.2,69.7,35.6,33.3,35.9,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2
          Male,155,95,93.9,10.9,63.6,33.6,33.3,35.9,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2
          Female,10,16,6.1,10.3,6.1,10.3,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2,0,20.2
1720 Chemists and materials scientists 1720 (SOC 19-2030),135,67,100,23.9,40.7,25.3,25.9,22.1,0,23.9,18.5,24.8,0,23.9,0,23.9,7.4,10.5,7.4,14.6
          Male,70,41,51.9,19.9,33.3,21.4,0,23.9,0,23.9,11.1,17.6,0,23.9,0,23.9,7.4,10.5,0,23.9
          Female,65,46,48.1,19.9,7.4,16,25.9,22.1,0,23.9,7.4,11.4,0,23.9,0,23.9,0,23.9,7.4,14.6
1740 Environmental scientists and geoscientists 1740 (SOC 19-2040),90,51,100,32.7,44.4,27.6,50,34.5,0,32.7,11.1,15.2,0,32.7,0,32.7,0,32.7,0,32.7
          Male,80,48,88.9,23.9,33.3,27.8,50,34.5,0,32.7,11.1,15.2,0,32.7,0,32.7,0,32.7,0,32.7
          Female,10,22,11.1,21.1,11.1,21.1,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7
"1760 Physical scientists, all other 1760 (SOC 19-2099)","1,105",232,100,3.3,48.9,9.3,30.8,8.6,0,3.3,14,6.4,0,3.3,1.4,11.7,5,4.7,0,3.3
          Male,690,160,62.4,9.1,34.4,8.3,13.1,6.3,0,3.3,8.6,5.6,0,3.3,1.4,11.7,5,4.7,0,3.3
          Female,415,144,37.6,9,14,6.8,18.1,8.6,0,3.3,5.4,4,0,3.3,0,3.3,0,3.3,0,3.3
1800 Economists 1800 (SOC 19-3011),250,104,100,13.9,34,16.5,46,20.3,0,13.9,12,9.5,0,13.9,0,13.9,8,12.6,1.6,0.9
          Male,145,70,58,18.5,30,16.4,20,15.4,0,13.9,8,8.5,0,13.9,0,13.9,0,13.9,0,13.9
          Female,105,67,42,18,4,6.4,26,19.1,0,13.9,4,5.5,0,13.9,0,13.9,8,12.6,1.6,0.9
1820 Psychologists 1820 (SOC 19-3030),400,127,100,8.9,31.3,16.1,58.8,15.9,0,8.9,5,7.8,0,8.9,0,8.9,5,8.8,0,8.9
          Male,150,77,37.5,14,8.8,8.3,18.8,13.1,0,8.9,5,7.8,0,8.9,0,8.9,5,8.8,0,8.9
          Female,245,94,61.3,14.2,22.5,13.9,38.8,16.7,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9
1840 Urban and regional planners 1840 (SOC 19-3051),50,33,100,45.1,20,32.4,60,38.8,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,20,29.6
          Male,30,26,60,40.9,0,45.1,40,41.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,20,29.6
          Female,20,25,40,41,20,32.4,30,38.7,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1,0,45.1
"1860 Miscellaneous social scientists, including survey researchers and sociologists 1860 (SOC 19-30XX)",540,167,100,6.7,38,16.3,52.8,17,0,6.7,4.6,6.8,0,6.7,4.6,24.1,0,6.7,0,6.7
          Male,270,119,50,16.3,25,13.4,22.2,13.7,0,6.7,0,6.7,0,6.7,1.9,23.8,0,6.7,0,6.7
          Female,270,121,50,16.5,13,10.1,30.6,18.8,0,6.7,4.6,6.8,0,6.7,2.8,23.9,0,6.7,0,6.7
1900 Agricultural and food science technicians 1900 (SOC 19-4011),40,37,100,50.4,100,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
          Male,0,127,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
          Female,40,37,100,50.4,100,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4,0,50.4
1910 Biological technicians 1910 (SOC 19-4021),110,71,100,28.2,54.5,33.2,13.6,24.9,0,28.2,0,28.2,0,28.2,0,28.2,31.8,33.2,0,28.2
          Male,30,37,27.3,29.9,27.3,29.9,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2,0,28.2
          Female,75,58,68.2,29,22.7,27.5,13.6,24.9,0,28.2,0,28.2,0,28.2,0,28.2,31.8,33.2,0,28.2
1920 Chemical technicians 1920 (SOC 19-4031),135,81,100,23.9,0,23.9,85.2,20.8,0,23.9,11.1,19.8,0,23.9,0,23.9,0,23.9,0,23.9
          Male,45,40,33.3,28.9,0,23.9,33.3,28.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9
          Female,90,73,66.7,29.1,0,23.9,55.6,33.3,0,23.9,11.1,19.8,0,23.9,0,23.9,0,23.9,0,23.9
"1965 Miscellaneous life, physical, and social science technicians, including social science research assistants 1965 (SOC 19-40YY)",690,177,100,5.3,20.3,10.4,59.4,13.5,0,5.3,16.7,11,0,5.3,0,5.3,0,5.3,3.6,4.3
          Male,365,139,52.9,15.2,8,9,31.2,14.6,0,5.3,10.9,9.7,0,5.3,0,5.3,0,5.3,2.2,4.2
          Female,325,134,47.1,15.3,12.3,7.8,28.3,15,0,5.3,5.8,5.6,0,5.3,0,5.3,0,5.3,1.4,1.9
2000 Counselors 2000 (SOC 21-1010),"3,185",385,100,1.2,8.2,3.4,83.7,4.7,0,1.2,2.7,2.4,0,1.2,1.4,4.2,2,1.6,2,1.7
          Male,"1,130",236,35.5,5.8,4.1,2.6,27.3,4.4,0,1.2,1.9,2.2,0,1.2,0.6,4.1,1.3,1.5,0.3,0.5
          Female,"2,055",297,64.5,5.8,4.1,1.8,56.4,6.4,0,1.2,0.8,0.9,0,1.2,0.8,4.1,0.8,0.8,1.7,1.7
2010 Social workers 2010 (SOC 21-1020),"2,885",411,100,1.3,10.2,3.9,84.4,4.6,0,1.3,0,1.3,0,1.3,1.9,4.7,1.9,2.4,1.6,1.2
          Male,560,187,19.4,5.1,1.9,1.5,16.6,5.3,0,1.3,0,1.3,0,1.3,0.7,4.5,0,1.3,0.1,0.4
          Female,"2,325",324,80.6,5.1,8.1,3.6,67.8,6.4,0,1.3,0,1.3,0,1.3,1.2,4.6,1.9,2.4,1.4,1.2
2015 Probation officers and correctional treatment specialists 2015 (SOC 21-1092),300,142,100,11.7,5,11,91.7,11.8,0,11.7,0,11.7,0,11.7,3.3,42.6,0,11.7,0,11.7
          Male,95,79,31.7,21.9,0,11.7,31.7,21.9,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7
          Female,205,113,68.3,22.2,5,11,60,23.9,0,11.7,0,11.7,0,11.7,3.3,42.6,0,11.7,0,11.7
2016 Social and human service assistants 2016 (SOC 21-1093),635,166,100,5.7,12.6,8.1,74.8,11.5,0,5.7,0,5.7,0,5.7,5.5,21.2,2.4,3.2,3.9,4.7
          Male,125,63,19.7,9.3,5.5,6.4,13.4,8.5,0,5.7,0,5.7,0,5.7,0,5.7,0,5.7,1.6,2.3
          Female,510,153,80.3,9.2,7.9,5.8,61.4,11.3,0,5.7,0,5.7,0,5.7,5.5,21.2,2.4,3.2,3.1,4.9
"2025 Miscellaneous community and social service specialists, including health educators and community health workers 2025 (SOC 21-109X)",475,159,100,7.6,17.9,9.9,80,10.7,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6,2.1,4.2
          Male,95,54,20,11,3.2,4.2,14.7,9.9,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6,2.1,4.2
          Female,380,148,80,10.9,14.7,9,65.3,13.9,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6,0,7.6
2040 Clergy 2040 (SOC 21-2011),"1,160",256,100,3.2,22.4,8,67.2,9.6,0,3.2,1.7,1.5,0,3.2,0,3.2,2.2,2.6,6.9,6.7
          Male,945,229,81.5,8.1,19.4,8,55.6,10.1,0,3.2,1.7,1.5,0,3.2,0,3.2,2.2,2.6,3,3
          Female,215,103,18.5,8.1,3,2.8,11.6,6.1,0,3.2,0,3.2,0,3.2,0,3.2,0,3.2,3.9,5.6
"2050 Directors, religious activities and education 2050 (SOC 21-2021)",90,57,100,32.7,22.2,25.5,77.8,22.5,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7
          Male,45,34,50,27,11.1,17.1,38.9,26.1,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7
          Female,45,40,50,28.3,11.1,18.3,38.9,25.6,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7
"2060 Religious workers, all other 2060 (SOC 21-2099)",320,95,100,11,39.1,18.6,56.3,18,0,11,3.1,5.8,0,11,0,11,0,11,0,11
          Male,85,51,26.6,13.7,12.5,8.7,14.1,12.9,0,11,0,11,0,11,0,11,0,11,0,11
          Female,235,79,73.4,13.8,28.1,18,42.2,18.2,0,11,3.1,5.8,0,11,0,11,0,11,0,11
"2100 Lawyers, and judges, magistrates, and other judicial workers 2100 (SOC 23-10XX)","2,445",299,100,1.5,23.5,5.8,66.1,6.7,0,1.5,2.5,1.7,0,1.5,2,5.5,2.7,1.7,3.1,2.4
          Male,"1,050",223,42.9,7.4,14.3,4.4,24.7,6.5,0,1.5,1.4,1.3,0,1.5,1,5.3,1.2,1.2,0.2,0.7
          Female,"1,395",246,57.1,7.3,9.2,3.8,41.3,7.8,0,1.5,1.2,1.1,0,1.5,1.2,5.3,1.4,1.4,2.7,2.4
2105 Judicial law clerks 2105 (SOC 23-1012),15,22,100,82.2,100,82.2,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,10,15,66.7,66.7,66.7,66.7,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,4,16,26.7,73.3,26.7,73.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
2145 Paralegals and legal assistants 2145 (SOC 23-2011),"2,485",358,100,1.5,16.1,5,73.8,5.8,0,1.5,1.2,1.7,0,1.5,1.6,5.3,3.6,3.2,3.4,2.2
          Male,455,154,18.3,5.6,5.8,3.6,12.3,5.3,0,1.5,0,1.5,0,1.5,0.2,5.1,0,1.5,0,1.5
          Female,"2,030",325,81.7,5.6,10.3,3.3,61.6,7,0,1.5,1.2,1.7,0,1.5,1.4,5.3,3.6,3.2,3.4,2.2
2160 Miscellaneous legal support workers 2160 (SOC 23-2090),"1,560",270,100,2.4,12.5,5.4,73.1,8.6,0,2.4,8,5.3,0,2.4,3.2,8.6,2.9,3.6,0.3,1.1
          Male,450,161,28.8,8.5,4.8,2.9,20.2,7.8,0,2.4,2.9,2.9,0,2.4,0,2.4,0.6,1,0.3,1.1
          Female,"1,115",222,71.5,8.6,7.7,4.5,52.9,8.7,0,2.4,5.1,4.8,0,2.4,3.2,8.6,2.6,3.5,0,2.4
2200 Postsecondary teachers 2200 (SOC 25-1000),"4,530",599,100,0.8,43.6,5.5,26.4,3.8,0,0.8,24.7,5.7,0,0.8,2.2,3.2,2.1,1.4,1,1.2
          Male,"2,485",441,54.9,5.6,22.8,4,13.7,3.1,0,0.8,16.6,5.5,0,0.8,0.9,0.8,0.6,0.8,0.3,0.6
          Female,"2,040",341,45,5.6,20.9,4.2,12.7,3,0,0.8,8.2,3.2,0,0.8,1.3,3,1.4,1.1,0.7,0.7
2300 Preschool and kindergarten teachers 2300 (SOC 25-2010),"1,465",331,100,2.5,17.4,7.2,69.6,8.8,0,2.5,5.5,4,0,2.5,2,8.9,4.4,3.8,1.4,1.8
          Male,50,55,3.4,3.6,0,2.5,1.7,2.6,0,2.5,1.7,2.6,0,2.5,0,2.5,0,2.5,0,2.5
          Female,"1,415",316,96.6,3.7,17.4,7.2,67.6,8.3,0,2.5,3.8,3.1,0,2.5,2,8.9,4.4,3.8,1.4,1.8
2310 Elementary and middle school teachers 2310 (SOC 25-2020),"8,695",713,100,0.4,19.9,2.7,69.6,3.4,0.1,0.2,6.1,2.1,0,0.4,1.6,1.7,0.7,0.6,1.9,1.2
          Male,"2,135",338,24.6,3.1,5.1,1.3,16.7,2.7,0,0.4,1.4,0.9,0,0.4,0.3,1.5,0.3,0.4,0.7,0.6
          Female,"6,560",571,75.4,3.1,14.8,2.3,52.9,3.3,0.1,0.2,4.7,1.8,0,0.4,1.4,1.7,0.4,0.4,1.2,1.1
2320 Secondary school teachers 2320 (SOC 25-2030),"2,165",331,100,1.7,20.8,6.3,63.7,8.5,0,1.7,10.2,6.3,0,1.7,0.7,6,0.9,1.5,3.7,3.9
          Male,935,216,43.2,7.7,9.7,3.9,30,7.8,0,1.7,2.3,2,0,1.7,0.7,6,0,1.7,0.5,0.9
          Female,"1,230",258,56.8,7.7,11.1,4.7,33.7,8.1,0,1.7,7.9,4.9,0,1.7,0,1.7,0.9,1.5,3.2,3.9
2330 Special education teachers 2330 (SOC 25-2050),715,210,100,5.1,23.1,11.6,69.9,11.8,2.1,3.3,0.6,0.2,0,5.1,1.4,17.9,2.8,4.1,0,5.1
          Male,175,116,24.5,13.4,0,5.1,24.5,13.4,0,5.1,0,5.1,0,5.1,0,5.1,0,5.1,0,5.1
          Female,540,169,75.5,13.5,23.1,11.6,45.5,16,2.1,3.3,0.6,0.2,0,5.1,1.4,17.9,2.8,4.1,0,5.1
2340 Other teachers and instructors 2340 (SOC 25-3000),"2,825",304,100,1.3,18.8,4.3,61.4,5.5,0,1.3,6,2.5,0,1.3,2.1,5,4.6,3.3,7.1,3.5
          Male,"1,080",224,38.2,6.2,8.1,3.6,21.2,5.1,0,1.3,2.8,2.1,0,1.3,1.6,4.9,1.9,1.8,2.5,1.9
